Title,Link,Job Type,Campany,Location
Technology Strategy & Transformation Consultant,https://wuzzuf.net/jobs/p/g/0HuF5vZKwEdC-Technology-Strategy-Transformation-Consultant-Accenture-Middle-East-Riyadh-Saudi-Arabia,Full Time,Accenture Middle East -,"Riyadh, Saudi Arabia "
Principal Sales Consultant,https://wuzzuf.net/jobs/p/g/ipefluzPbFmB-Principal-Sales-Consultant-Oracle-Dubai-United-Arab-Emirates,Full Time,Oracle -,"Dubai, United Arab Emirates "
Data Analyst - GLOBALLY REMOTE,https://wuzzuf.net/jobs/p/g/z31As1XGm4gl-Data-Analyst---GLOBALLY-REMOTE-Amini-Dubai-United-Arab-Emirates,Full Time,Amini -,"Dubai, United Arab Emirates "
Senior Enterprise Account Executive,https://wuzzuf.net/jobs/p/g/iWk3AwvHlEwf-Senior-Enterprise-Account-Executive-udacity-Riyadh-Saudi-Arabia,Full Time,udacity -,"Riyadh, Saudi Arabia "
Regional Category Buyer IS/IT (Egyptian National Only),https://wuzzuf.net/jobs/p/g/KhqXHOXyJXxb-Regional-Category-Buyer-ISIT-Egyptian-National-Only-International-Trade-Advisors-Pty-Cairo-Egypt,Full Time,International Trade Advisors Pty -,"Cairo, Egypt "
Technology Strategy & Advisory Manager,https://wuzzuf.net/jobs/p/g/QE5XzJgl94th-Technology-Strategy-Advisory-Manager-Accenture-Middle-East-Doha-Qatar,Full Time,Accenture Middle East -,"Doha, Qatar "
Regional Category Buyer IS/IT (Egyptian National Only),https://wuzzuf.net/jobs/p/g/v1v50AAUDwVu-Regional-Category-Buyer-ISIT-Egyptian-National-Only-Thales-Group-Cairo-Egypt,Full Time,Thales Group -,"Cairo, Egypt "
Principal Product Manager - Operations,https://wuzzuf.net/jobs/p/g/HmgzBPFBu5Na-Principal-Product-Manager---Operations-Cafu-Dubai-United-Arab-Emirates,Full Time,Cafu -,"Dubai, United Arab Emirates "
Financial Controller,https://wuzzuf.net/jobs/p/g/seaGI4UrJR2g-Financial-Controller-Bunge-Riyadh-Saudi-Arabia,Full Time,Bunge -,"Riyadh, Saudi Arabia "
General Manager - Retail,https://wuzzuf.net/jobs/p/g/zk8kr0tqZfSb-General-Manager---Retail-The-Professionals-Riyadh-Saudi-Arabia,Full Time,The Professionals -,"Riyadh, Saudi Arabia "
Government Relation Officer - Saudi National,https://wuzzuf.net/jobs/p/g/vZRaM2iOtvPc-Government-Relation-Officer---Saudi-National-Swissôtel-Al-Maqam-Makkah-Makkah-Saudi-Arabia,Freelance / Project,Swissôtel Al Maqam Makkah -,"Makkah, Saudi Arabia "
Account Manager,https://wuzzuf.net/jobs/p/g/LVqaQdfwFpmT-Account-Manager-Carrier-Corp-Riyadh-Saudi-Arabia,Full Time,Carrier Corp -,"Riyadh, Saudi Arabia "
